name,fees,costs,total
BA-Absolute-Both1,549.07,1982.55,2531.62
BA-Absolute-Exp1,549.65,2103.18,2652.83
BA-Absolute-Time1,1428.44,1986.78,3415.22
BA-AdjExpense1,549.65,2207.68,2757.33
BA-AdjTask1,579.95,1986.78,2566.73
BA-AdjTK-Both1,579.95,1986.78,2566.73
BA-AdjTK-Exp1,549.65,2207.68,2757.33
BA-AdjTK-Time1,579.95,1986.78,2566.73
BA-AdjTot-Both1,579.95,2207.68,2787.63
BA-AdjTot-Exp1,549.65,2207.68,2757.33
BA-AdjTot-Time1,579.95,1986.78,2566.73
BA-Cont-Both1,428.44,1103.18,1531.62
BA-Cont-Both2,488.75,1542.87,3563.24
BA-Cont-Exp1,549.65,1103.18,1652.83
BA-Cont-Exp2,549.65,1603.18,3805.66
BA-Cont-Time1,428.44,1986.78,2415.22
BA-Cont-Time2,1428.44,1986.78,5830.44
BA-FFPlus-Both1,609.96,2426.47,3036.43
BA-FFPlus-Exp1,549.65,2486.78,3036.43
BA-FFPlus-Time1,1049.65,1986.78,3036.43
BA-Maximum-Both1,488.75,1542.87,2031.62
BA-Maximum-Exp1,549.65,1603.18,2152.83
BA-Maximum-Time1,549.65,1986.78,2536.43
BA-Minimum-Both1,1031.59,5500.03,6531.62
BA-Minimum-Exp1,549.65,6103.18,6652.83
BA-Minimum-Time1,5428.44,1986.78,7415.22
BA-MinimumHours1,1528.44,1986.78,3515.22
BA-Percent1,678.44,1986.78,2665.22
BA-Percent2,978.44,1986.78,5630.44
BA-Percent3,628.44,1986.78,8245.66
BA-ProgressTot1,500,1986.78,2915.22
BA-ProgressTot2,600,1986.78,5930.44
BA-ProgressTot3,1128.44,1986.78,9045.66
BA-ProgressAct1,500,1986.78,2915.22
BA-ProgressAct2,600,1986.78,5930.44
BA-ProgressAct3,1128.44,1986.78,9045.66
BA-InterimTot1,928.44,1986.78,2915.22
BA-InterimTot2,1028.44,1986.78,5930.44
BA-InterimTot3,1128.44,1986.78,9045.66
BA-InterimAct1,928.44,1986.78,2915.22
BA-InterimAct2,1028.44,1986.78,5930.44
BA-InterimAct3,1128.44,1986.78,9045.66
BA-RoundMin1,559.8,1986.78,2546.58
BA-RoundDol1,555,1986.78,2541.78
BA-Precision1,549.65,1986.78,2536.43
