"Abington","0.00","367.50","0.00","0.00","0.00","367.50","367.50"
"Acton","311.84","1118.30","0.00","0.00","0.00","1430.14","1430.14"
"Acushnet","176.65","0.00","0.00","0.00","0.00","176.65","176.65"
"Adams","154.18","1551.95","0.00","0.00","0.00","1706.13","1706.13"
"Agawam","1637.46","1855.27","0.00","0.00","0.00","3492.73","3492.73"
"Alford","2735.51","2158.52","20.11","20.87","20.28","4955.29","4935.01"
"Amesbury","2759.31","2406.26","21.23","22.03","0.00","5208.83","5208.83"
"Amherst","4266.36","273.23","19.10","0.00","13.90","4572.59","4558.69"
"Andover","2302.26","493.63","0.00","0.00","10.68","2806.57","2795.89"
"Aquinnah","374.08","0.00","0.00","0.00","0.00","374.08","374.08"
"Arlington","1259.46","934.23","9.02","9.35","9.09","2221.15","2212.06"
"Ashburnham","2475.77","1193.67","15.08","15.65","15.21","3715.38","3700.17"
"Ashby","1661.19","7.53","7.32","7.60","0.00","1683.64","1683.64"
"Ashfield","360.77","1646.82","8.72","0.00","0.00","2016.31","2016.31"
"Ashland","1768.59","1911.23","0.00","6.14","15.15","3701.11","3685.96"
"Athol","3176.75","2136.66","21.84","22.66","22.02","5379.93","5357.91"
"Attleboro","3290.61","2397.91","23.38","24.26","23.57","5759.73","5736.16"
"Auburn","3068.08","268.18","14.20","14.73","14.32","3379.51","3365.19"
"Avon","697.10","486.86","5.36","5.56","0.00","1194.88","1194.88"
"Ayer","2382.95","10.63","10.33","0.00","0.00","2403.91","2403.91"
"Barnstable","7167.98","978.61","8.39","34.63","33.66","8223.27","8189.61"
"Barre","687.12","1161.00","7.60","7.88","7.66","1871.26","1863.60"
"Becket","1521.58","0.00","0.00","2.63","6.77","1530.98","1524.21"
"Bedford","2451.37","1668.35","17.44","18.10","17.08","4172.34","4155.26"
"Belchertown","1432.67","1909.85","14.25","14.25","0.00","3371.02","3371.02"
"Bellingham","3286.41","2162.25","22.39","0.00","20.61","5491.66","5471.05"
"Belmont","2942.04","2407.03","0.00","19.61","22.06","5390.74","5368.68"
"Berkley","7121.67","5.71","284.47","32.02","31.12","7474.99","7443.87"
"Berlin","1543.33","0.00","479.39","9.14","8.35","2040.21","2031.86"
"Bernardston","1052.28","5.02","4.88","4.51","4.38","1071.07","1066.69"
"Beverly","1425.88","1.18","953.52","10.11","0.00","2390.69","2390.69"
"Billerica","4702.76","19.97","1202.57","0.06","24.35","5949.71","5925.36"
"Blackstone","3742.33","16.46","0.00","7.43","16.02","3782.24","3766.22"
"Blandford","0.00","0.00","1216.57","5.74","5.02","1227.33","1222.31"
