"Activity Nickname 1","Activity Nickname 2","Classification","Activity Full Name","Default Price Level","Default Quantity","Default Bill Status","Default Hold","Default Description","Name","Use Markup/Markup Value",
"Arbitrators/mediators","E121","Open","E121 Arbitrators/mediators","0","Default Quantity 1001.000","Ignore","Hold Ignore","Arbitrators/mediators","Expenses","No"
"Copying","E101","Open","E101 Copying","0","Default Quantity 1002.000","Ignore","Hold Ignore","Copying","Expenses","No"
"Court fees","E112","Open","E112 Court fees","0","Default Quantity 1003.000","Ignore","Hold Ignore","Court fees","Expenses","No"
"Delivery services/messengers","E107","Open","E107 Delivery services/messengers","0","Default Quantity 1004.000","Ignore","Hold Ignore","Delivery services/messengers","Expenses","No"
"Deposition/DEP","E115","Open","E115 Deposition transcripts","0","Default Quantity 1005.000","Ignore","Hold Ignore","Deposition transcripts","Expenses","No"
"Experts","E119","Open","E119 Experts","0","Default Quantity 1006.001","Ignore","Hold Ignore","Experts","Expenses","No"
"Facsimile","E104","Open","E104 Facsimile","0","Default Quantity 1007.001","Ignore","Hold Ignore","Facsimile","Expenses","No"
"Litigation support vendors","E118","Open","E118 Litigation support vendors","0","Default Quantity 1008.001","Ignore","Hold Ignore","Litigation support vendors","Expenses","No"
"Local counsel","E122","Open","E122 Local counsel","0","Default Quantity 1009.001","Ignore","Hold Ignore","Local counsel","Expenses","No"
"Local travel","E109","Open","E109 Local travel","0","Default Quantity 1010.001","Ignore","Hold Ignore","Local travel","Expenses","No"
"Meals","E111","Open","E111 Meals","0","Default Quantity 1011.001","Ignore","Hold Ignore","Meals","Expenses","No"
"Online researc","E106","Open","E106 Online research","0","Default Quantity 1012.001","Ignore","Hold Ignore","Online research","Expenses","No"
"Other","E124","Open","E124 Other","0","Default Quantity 1013.001","Ignore","Hold Ignore","Other","Expenses","No"
"Other professionals","E123","Open","E123 Other professionals","0","Default Quantity 1014.001","Ignore","Hold Ignore","Other professionals","Expenses","No"
"Out-of-town travel","E110","Open","E110 Out-of-town travel","0","Default Quantity 1015.001","Ignore","Hold Ignore","Out-of-town travel","Expenses","No"
"Outside printing","E102","Open","E102 Outside printing","0","Default Quantity 1016.002","Ignore","Hold Ignore","Outside printing","Expenses","No"
"Postage","E108","Open","E108 Postage","0","Default Quantity 1017.002","Ignore","Hold Ignore","Postage","Expenses","No"
"Private investigators","E120","Open","E120 Private investigators","0","Default Quantity 1018.002","Ignore","Hold Ignore","Private investigators","Expenses","No"
"Subpoena fees","E113","Open","E113 Subpoena fees","0","Default Quantity 1019.002","Ignore","Hold Ignore","Subpoena fees","Expenses","No"
"Telephone","E105","Open","E105 Telephone","0","Default Quantity 1020.002","Ignore","Hold Ignore","Telephone","Expenses","No"
"Trial exhibits","E117","Open","E117 Trial exhibits","0","Default Quantity 1021.002","Ignore","Hold Ignore","Trial exhibits","Expenses","No"
"Trial transcripts/TRI","E116","Open","E116 Trial transcripts","0","Default Quantity 1022.002","Ignore","Hold Ignore","Trial transcripts","Expenses","No"
"Witness fees","E114","Open","E114 Witness fees","0","Default Quantity 1023.002","Ignore","Hold Ignore","Witness fees","Expenses","No"
"Word Processing","E103","Open","Word processing","20","Default Quantity 1.021","Ignore","Hold Ignore","Word processing","Expenses","No"
